;artist;genre;media;style;title;url;year
41;Tamara de Lempicka;portrait;;art deco;Woman in a Yellow Dress;https://uploads8.wikiart.org/images/tamara-de-lempicka/woman-in-a-yellow-dress-1929.jpg;1929
42;Tamara de Lempicka;nude painting (nu);;art deco;Women Bathing;https://uploads7.wikiart.org/images/tamara-de-lempicka/women-bathing-1929.jpg;1929
43;Tamara de Lempicka;nude painting (nu);;art deco;Women Bathing (detail);https://uploads5.wikiart.org/images/tamara-de-lempicka/women-bathing-detail-1929.jpg;1929
44;Tamara de Lempicka;portrait;;art deco;Portrait Of Ira P;https://uploads3.wikiart.org/images/tamara-de-lempicka/portrait-of-ira-p-1930.jpg!Large.jpg;1930
45;Tamara de Lempicka;portrait;;art deco;Portrait of Madame M.;https://uploads6.wikiart.org/images/tamara-de-lempicka/portrait-of-madame-m-1930.jpg!Large.jpg;1930
46;Tamara de Lempicka;nude painting (nu);;art deco;Sleeping Girl;https://uploads3.wikiart.org/images/tamara-de-lempicka/sleeping-girl.jpg!Large.jpg;1930
47;Tamara de Lempicka;portrait;;art deco;The Girls;https://uploads8.wikiart.org/images/tamara-de-lempicka/the-girls.jpg!Large.jpg;1930
48;Tamara de Lempicka;portrait;;art deco;The Green Turban;https://uploads2.wikiart.org/images/tamara-de-lempicka/the-green-turban-1930.jpg!Large.jpg;1930
49;Tamara de Lempicka;portrait;;art deco;The Straw Hat;https://uploads0.wikiart.org/images/tamara-de-lempicka/the-straw-hat-1930-1.jpg;1930
50;Tamara de Lempicka;portrait;;art deco;The Telephone;https://uploads8.wikiart.org/images/tamara-de-lempicka/the-telephone-1930.jpg!Large.jpg;1930
51;Tamara de Lempicka;portrait;;art deco;Idyll;https://uploads0.wikiart.org/images/tamara-de-lempicka/idyll-1931.jpg!Large.jpg;1931
52;Tamara de Lempicka;portrait;;art deco;Portrait of Mrs Boucard;https://uploads0.wikiart.org/images/tamara-de-lempicka/portrait-of-mrs-boucard-1931.jpg!Large.jpg;1931
53;Tamara de Lempicka;portrait;;art deco;Portrait of Pierre de Montaut;https://uploads5.wikiart.org/images/tamara-de-lempicka/portrait-of-pierre-de-montaut-1931.jpg;1931
54;Tamara de Lempicka;portrait;;art deco;Woman with Dove;https://uploads0.wikiart.org/images/tamara-de-lempicka/woman-with-dove-1931.jpg;
55;Tamara de Lempicka;religious painting;oil,panel;art deco;Adam and Eve;https://uploads7.wikiart.org/images/tamara-de-lempicka/adam-and-eve-1932.jpg!Large.jpg;1932
